alphabet,count
a,202719
b,34657
c,61621
d,118297
e,313572
f,54901
g,51327
h,167415
i,172257
j,2575
k,20432
l,96530
m,61648
n,184185
o,190083
p,45533
q,2331
r,148431
s,162897
t,226414
u,64400
v,27087
w,59209
x,4384
y,46236
z,2388
alphabet,count
alphabet,count
a,202719
b,34657
c,61621
d,118297
e,313572
f,54901
g,51327
h,167415
i,172257
j,2575
k,20432
l,96530
m,61648
n,184185
o,190083
p,45533
q,2331
r,148431
s,162897
t,226414
u,64400
v,27087
w,59209
x,4384
y,46236
z,2388
alphabet,count
a,202719
b,34657
c,61621
d,118297
e,313572
f,54901
g,51327
h,167415
i,172257
j,2575
k,20432
l,96530
m,61648
n,184185
o,190083
p,45533
q,2331
r,148431
s,162897
t,226414
u,64400
v,27087
w,59209
x,4384
y,46236
z,2388
alphabet,count
a,202719
b,34657
c,61621
d,118297
e,313572
f,54901
g,51327
h,167415
i,172257
j,2575
k,20432
l,96530
m,61648
n,184185
o,190083
p,45533
q,2331
r,148431
s,162897
t,226414
u,64400
v,27087
w,59209
x,4384
y,46236
z,2388
